Date,Name,Year,Letterboxd URI,Rating
2025-11-02,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO,3.5
2025-11-05,Phoenix,2025,https://boxd.it/NNP0,2
2025-11-09,Man vs Bee,2022,https://boxd.it/Trcs,3
2025-11-09,Velaiyilla Pattathari,2014,https://boxd.it/7OWi,5
2025-11-10,Sathi Leelavathi,1995,https://boxd.it/8ro,3.5
2025-11-13,Vetri Kodi Kattu,2000,https://boxd.it/7ToK,3.5
2025-11-13,Secret,2007,https://boxd.it/1DEq,4
2025-11-13,My Girl,1991,https://boxd.it/24PK,3.5
2025-11-13,Dragon,2025,https://boxd.it/Mxns,3.5
2025-11-14,Kiss,2025,https://boxd.it/Nysq,3
2025-11-14,Bata Boy and Crocs Girl,2025,https://boxd.it/SoFa,2
2025-11-16,Kaantha,2025,https://boxd.it/LChi,4
2025-11-18,Appa,2016,https://boxd.it/e9A0,2.5
2025-11-18,Bakasuran,2023,https://boxd.it/B4PA,0.5
2025-11-19,Rachcha,2012,https://boxd.it/40ja,2.5
2025-11-20,Pistha,1997,https://boxd.it/2J2E,2.5
2025-11-20,The Immaculate Room,2022,https://boxd.it/unt0,2
2025-11-21,Brindavanam,2010,https://boxd.it/nLo,3.5
2025-11-21,Bison Kaalamaadan,2025,https://boxd.it/LUUW,4
2025-11-22,The Holiday,2006,https://boxd.it/28ye,3
2025-11-22,Grave of the Fireflies,1988,https://boxd.it/1RUM,4
2025-11-22,Dookudu,2011,https://boxd.it/2N9E,2.5
2025-11-23,Diary,2022,https://boxd.it/upua,2.5
2025-11-24,Pushpa: The Rise,2021,https://boxd.it/pO3y,3
2025-11-26,Thevar Magan,1992,https://boxd.it/8pM,4
2025-11-28,Idli Kadai,2025,https://boxd.it/Oxi2,2
2025-11-28,DJ: Duvvada Jagannadham,2017,https://boxd.it/fMIu,2
2025-11-28,Mr Bachchan,2024,https://boxd.it/KOjy,0.5
2025-11-29,Em Magan,2006,https://boxd.it/2Mpw,3.5
2025-11-30,Aan Paavam Pollathathu,2025,https://boxd.it/T6s0,1
2025-12-01,Aravinda Sametha Veera Raghava,2018,https://boxd.it/jsaU,4
2025-12-01,Black Adam,2022,https://boxd.it/fup0,2.5
2025-12-03,The Hangover,2009,https://boxd.it/1GjK,4
2025-12-03,Bad Girl,2025,https://boxd.it/RZBi,3
2025-12-05,Lakshmi Narasimha,2004,https://boxd.it/2PLg,2
2025-12-05,"My Tomorrow, Your Yesterday",2016,https://boxd.it/fajw,4
2025-12-06,How Long Will I Love U,2018,https://boxd.it/iZ3U,4
2025-12-07,The Smile Man,2024,https://boxd.it/zy7u,1.5
2025-12-07,Joe,2023,https://boxd.it/JQDe,2.5
2025-12-08,Khaleja,2010,https://boxd.it/nKK,3.5
2025-12-09,Idhu Namma Aalu,1988,https://boxd.it/biew,2.5
2025-12-10,Veettukku Vandha Marumagal,1973,https://boxd.it/A4Z4,2
2025-12-10,Hugo,2011,https://boxd.it/R08,4
2025-12-10,The Family Star,2024,https://boxd.it/H90k,1
2025-12-12,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3.5
2025-12-14,Aaromaley,2025,https://boxd.it/VkiM,3
2025-12-14,Next,2007,https://boxd.it/28bY,2.5
2025-12-17,Kuruthipunal,1995,https://boxd.it/8ry,4.5
2025-12-23,Sarpatta Parambarai,2021,https://boxd.it/tX36,5
2025-12-23,Dominic and the Ladies' Purse,2025,https://boxd.it/NKgG,2
2025-12-23,Rambo,2025,https://boxd.it/T1R0,1
2025-12-24,Majaa,2005,https://boxd.it/2hDi,2
2025-12-25,Yavarum Nalam,2009,https://boxd.it/1Ekm,4
