Date,Name,Year,Letterboxd URI
2025-06-06,Michael Madana Kama Rajan,1990,https://boxd.it/1O5c
2025-06-07,Maaveeran,2023,https://boxd.it/Bktq
2025-06-07,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2025-06-08,Thalapathi,1991,https://boxd.it/1mDg
2025-06-09,Mannan,1992,https://boxd.it/8Ji
2025-06-10,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc
2025-06-12,The Warriorr,2022,https://boxd.it/yYnG
2025-06-12,Killer Bean Forever,2008,https://boxd.it/1xtG
2025-06-12,Kabhi Alvida Naa Kehna,2006,https://boxd.it/1Oci
2025-06-12,Geethanjali,1989,https://boxd.it/4I5c
2025-06-13,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS
2025-06-13,Avan Ivan,2011,https://boxd.it/3q6
2025-06-15,Jerry Maguire,1996,https://boxd.it/1YNS
2025-06-17,Nadunisi Naaygal,2011,https://boxd.it/3KcM
2025-06-18,Padakkalam,2025,https://boxd.it/LFSQ
2025-06-18,Annamalai,1992,https://boxd.it/HHm
2025-06-19,Thug Life,2025,https://boxd.it/DxWY
2025-06-20,Carry-On,2024,https://boxd.it/C0B2
2025-06-21,DJ: Duvvada Jagannadham,2017,https://boxd.it/fMIu
2025-06-23,Eleven,2025,https://boxd.it/NYFU
2025-06-24,Devil's Double Next Level,2025,https://boxd.it/SB3y
2025-06-25,Atonement,2007,https://boxd.it/24ui
2025-06-26,Ethir Neechal,1968,https://boxd.it/atGu
2025-06-26,Onna Irukka Kathukanom,1992,https://boxd.it/BsPO
2025-06-27,"Josee, the Tiger and the Fish",2020,https://boxd.it/oh1i
2025-06-27,Swades,2004,https://boxd.it/1Ly6
2025-06-28,Lemons Are Not Sour,2024,https://boxd.it/PTGM
2025-06-29,Vidaamuyarchi,2025,https://boxd.it/zQjS
2025-06-30,Pannaiyarum Padminiyum,2014,https://boxd.it/7n4o
2025-06-30,Veedu,1988,https://boxd.it/aSwO
2025-07-01,Squid Game,2021,https://boxd.it/x1OG
2025-07-03,Valiyavan,2015,https://boxd.it/8BqA
2025-07-05,Prisoners,2013,https://boxd.it/4E5i
2025-07-08,3BHK,2025,https://boxd.it/Nn64
2025-07-09,Power,2014,https://boxd.it/oUUm
2025-07-11,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-07-13,Superman,2025,https://boxd.it/E9IU
2025-07-13,Court: State vs. A Nobody,2025,https://boxd.it/SHmm
2025-07-17,It Ends with Us,2024,https://boxd.it/ENjg
2025-07-18,Kuberaa,2025,https://boxd.it/IpbA
2025-07-23,Kannappa,2025,https://boxd.it/KOpw
2025-07-27,Enthiran,2010,https://boxd.it/4Hgo
2025-07-29,Singam,2010,https://boxd.it/axI
2025-07-31,Happy Gilmore,1996,https://boxd.it/1Yey
2025-08-01,Happy Gilmore 2,2025,https://boxd.it/M8PQ
2025-08-01,DNA,2025,https://boxd.it/Sr7A
2025-08-01,Maargan,2025,https://boxd.it/SLie
2025-08-02,Incendies,2010,https://boxd.it/Msm
2025-08-03,Mahavatar Narsimha,2024,https://boxd.it/RdXU
2025-08-06,Parandhu Po,2025,https://boxd.it/S6v2
2025-08-07,8 Thottakkal,2017,https://boxd.it/g3ym
2025-08-13,Kung Fu Hustle,2004,https://boxd.it/1YBi
2025-08-14,Villadhi Villain,1995,https://boxd.it/AyNW
2025-08-15,Ranga,1982,https://boxd.it/8Bo
2025-08-15,Coolie,2025,https://boxd.it/HDVK
2025-08-17,Friends,2001,https://boxd.it/3EEg
2025-08-17,Kushi,2000,https://boxd.it/2hFS
2025-08-18,Sitaare Zameen Par,2025,https://boxd.it/Ja4m
2025-08-20,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2
2025-08-22,C/o Kancharapalem,2018,https://boxd.it/jSlk
2025-08-23,Maareesan,2025,https://boxd.it/CEwQ
2025-08-24,The Princess Bride,1987,https://boxd.it/26EY
2025-08-26,Sethu...,1999,https://boxd.it/2hDs
2025-08-27,Kingdom,2025,https://boxd.it/GxLi
2025-08-28,Irudhi Pakkam,2021,https://boxd.it/yxrc
2025-08-28,Time,2006,https://boxd.it/1voO
2025-08-31,Naan Kadavul,2009,https://boxd.it/2i4S
2025-08-31,F1,2025,https://boxd.it/yjVM
2025-09-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2025-09-05,Children of Heaven,1997,https://boxd.it/1C5k
2025-09-05,Jeans,1998,https://boxd.it/1lZA
2025-09-07,7G Rainbow Colony,2004,https://boxd.it/1xDQ
2025-09-07,The Queen's Gambit,2020,https://boxd.it/s1Ym
2025-09-10,Mozhi,2007,https://boxd.it/6lI
2025-09-14,Uttama Villain,2015,https://boxd.it/8j7A
2025-09-21,Madharaasi,2025,https://boxd.it/Nu7S
2025-09-21,"Love, Rosie",2014,https://boxd.it/62hE
2025-09-22,Varisu,2023,https://boxd.it/vuNo
2025-09-24,Virumaandi,2004,https://boxd.it/8tk
2025-09-28,Saaho,2019,https://boxd.it/gdaa
2025-10-02,Click,2006,https://boxd.it/1YVM
2025-10-03,Meet Joe Black,1998,https://boxd.it/2aEI
2025-10-04,Gangs of Wasseypur – Part 1,2012,https://boxd.it/3UHK
2025-10-05,Gandhi Kannadi,2025,https://boxd.it/W0SC
2025-10-09,Son of Saul,2015,https://boxd.it/b6r4
2025-10-10,War 2,2025,https://boxd.it/FWdI
2025-10-12,Prem Ratan Dhan Payo,2015,https://boxd.it/coCc
2025-10-13,Odum Kuthira Chadum Kuthira,2025,https://boxd.it/zGBC
2025-10-14,The Big Short,2015,https://boxd.it/ajZw
2025-10-15,Salaar: Part 1 - Ceasefire,2023,https://boxd.it/sYOU
2025-10-18,Dude,2025,https://boxd.it/OqFe
2025-10-22,Lakshmi,2018,https://boxd.it/jqLO
2025-10-23,Athidhi,2007,https://boxd.it/nJ8
2025-10-24,Athadu,2005,https://boxd.it/18T0
2025-10-25,Devadas,2018,https://boxd.it/k7Kk
2025-10-26,They Call Him OG,2025,https://boxd.it/EQYc
2025-10-29,Ravanasura,2023,https://boxd.it/xHL0
2025-10-30,Sarrainodu,2016,https://boxd.it/d1BC
2025-10-31,Idli Kadai,2025,https://boxd.it/Oxi2
2025-11-01,Kantara - A Legend: Chapter 1,2025,https://boxd.it/EZaq
2025-11-02,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO
2025-11-05,Phoenix,2025,https://boxd.it/NNP0
2025-11-09,Man vs Bee,2022,https://boxd.it/Trcs
2025-11-09,Velaiyilla Pattathari,2014,https://boxd.it/7OWi
2025-11-13,Vetri Kodi Kattu,2000,https://boxd.it/7ToK
2025-11-14,Kiss,2025,https://boxd.it/Nysq
2025-11-16,Kaantha,2025,https://boxd.it/LChi
2025-11-18,Appa,2016,https://boxd.it/e9A0
2025-11-18,Bakasuran,2023,https://boxd.it/B4PA
2025-11-19,Rachcha,2012,https://boxd.it/40ja
2025-11-20,Pistha,1997,https://boxd.it/2J2E
2025-11-20,The Immaculate Room,2022,https://boxd.it/unt0
2025-11-21,Brindavanam,2010,https://boxd.it/nLo
2025-11-21,Bison Kaalamaadan,2025,https://boxd.it/LUUW
2025-11-22,Grave of the Fireflies,1988,https://boxd.it/1RUM
2025-11-22,Dookudu,2011,https://boxd.it/2N9E
2025-11-23,Diary,2022,https://boxd.it/upua
2025-11-24,Pushpa: The Rise,2021,https://boxd.it/pO3y
2025-11-26,Thevar Magan,1992,https://boxd.it/8pM
2025-11-28,Mr Bachchan,2024,https://boxd.it/KOjy
2025-11-29,Em Magan,2006,https://boxd.it/2Mpw
2025-11-29,Aan Paavam Pollathathu,2025,https://boxd.it/T6s0
2025-12-01,Aravinda Sametha Veera Raghava,2018,https://boxd.it/jsaU
2025-12-01,Black Adam,2022,https://boxd.it/fup0
2025-12-02,Twinkling Watermelon,2023,https://boxd.it/JIm0
2025-12-03,The Hangover,2009,https://boxd.it/1GjK
2025-12-03,Bad Girl,2025,https://boxd.it/RZBi
2025-12-05,Lakshmi Narasimha,2004,https://boxd.it/2PLg
2025-12-05,"My Tomorrow, Your Yesterday",2016,https://boxd.it/fajw
2025-12-06,How Long Will I Love U,2018,https://boxd.it/iZ3U
2025-12-07,The Smile Man,2024,https://boxd.it/zy7u
2025-12-07,Joe,2023,https://boxd.it/JQDe
2025-12-08,Khaleja,2010,https://boxd.it/nKK
2025-12-09,Idhu Namma Aalu,1988,https://boxd.it/biew
2025-12-10,Veettukku Vandha Marumagal,1973,https://boxd.it/A4Z4
2025-12-10,Hugo,2011,https://boxd.it/R08
2025-12-10,The Family Star,2024,https://boxd.it/H90k
2025-12-12,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2025-12-14,Aaromaley,2025,https://boxd.it/VkiM
2025-12-14,Next,2007,https://boxd.it/28bY
2025-12-17,Kuruthipunal,1995,https://boxd.it/8ry
2025-12-23,Sarpatta Parambarai,2021,https://boxd.it/tX36
2025-12-23,Dominic and the Ladies' Purse,2025,https://boxd.it/NKgG
2025-12-23,Rambo,2025,https://boxd.it/T1R0
2025-12-24,Majaa,2005,https://boxd.it/2hDi
2025-12-25,Yavarum Nalam,2009,https://boxd.it/1Ekm
2025-12-25,La La Land,2016,https://boxd.it/a5fa
2025-12-28,Revolver Rita,2025,https://boxd.it/ED9g
2025-12-28,Suryavamsam,1997,https://boxd.it/2JhO
2025-12-29,Middle Class,2025,https://boxd.it/Yp68
